Date,Name,Year,Letterboxd URI,Rating,Rewatch,Tags,Watched Date
2026-01-13,La Strada,1954,https://boxd.it/cBEZdT,5,,,2021-07-10
2026-01-13,Airplane!,1980,https://boxd.it/cBfA2L,5,,,2021-07-15
2026-01-13,Silence,2016,https://boxd.it/cBeZbV,5,,,2022-01-12
2026-01-13,The Silence,1963,https://boxd.it/cBeZHx,5,,,2023-04-12
2025-05-21,The Seventh Seal,1957,https://boxd.it/9KVj55,,,,2025-05-20
2025-10-26,My Dinner with Andre,1981,https://boxd.it/buqvcH,5,,,2025-10-25
2025-10-26,2001: A Space Odyssey,1968,https://boxd.it/buqvZ5,5,,,2025-10-25
2026-01-11,Perfect Blue,1997,https://boxd.it/czMueJ,,,,2026-01-11
2026-01-13,Floating Weeds,1959,https://boxd.it/cBeTgl,5,,,2026-01-12
2026-01-13,Seven Samurai,1954,https://boxd.it/cBeTKF,5,,,2026-01-12
2026-01-13,High and Low,1963,https://boxd.it/cBeUzD,5,,,2026-01-12
2026-01-13,El Topo,1970,https://boxd.it/cBeV9L,5,,,2026-01-12
2026-01-13,The Holy Mountain,1973,https://boxd.it/cBeVJp,5,,,2026-01-12
2026-01-13,Marty Supreme,2025,https://boxd.it/cBeWqD,2.5,,,2026-01-12
2026-01-13,Taxi Driver,1976,https://boxd.it/cBeXdv,5,,,2026-01-12
2026-01-13,Extreme Job,2019,https://boxd.it/cBeXQn,4,,,2026-01-12
2026-01-13,Fantasia,1940,https://boxd.it/cBeYjp,5,,,2026-01-12
2026-01-13,Y Tu Mamá También,2001,https://boxd.it/cBfzkp,5,,,2026-01-12
