Date,Name,Year,Letterboxd URI
2024-06-20,Oldboy,2003,https://boxd.it/29R2
2025-07-06,Children of Heaven,1997,https://boxd.it/1C5k
2025-10-26,My Dinner with Andre,1981,https://boxd.it/1vLe
2025-10-26,2001: A Space Odyssey,1968,https://boxd.it/2bf0
2026-01-13,Floating Weeds,1959,https://boxd.it/LZu
2026-01-13,Seven Samurai,1954,https://boxd.it/2axi
2026-01-13,High and Low,1963,https://boxd.it/1RSc
2026-01-13,El Topo,1970,https://boxd.it/1QYS
2026-01-13,The Holy Mountain,1973,https://boxd.it/20mu
2026-01-13,Taxi Driver,1976,https://boxd.it/2b8y
2026-01-13,Fantasia,1940,https://boxd.it/29HG
2026-01-13,The Silence,1963,https://boxd.it/1TH6
2026-01-13,Y Tu Mamá También,2001,https://boxd.it/28QM
2026-01-13,La Strada,1954,https://boxd.it/2asi
2026-01-13,Anora,2024,https://boxd.it/Egcw
2026-01-13,12 Angry Men,1957,https://boxd.it/2auI
2026-01-13,City of God,2002,https://boxd.it/2a2a
2026-01-13,The Godfather,1972,https://boxd.it/2aNK
2026-01-13,Andrei Rublev,1966,https://boxd.it/29lg
2026-01-13,The Handmaiden,2016,https://boxd.it/948A
2026-01-13,One Flew Over the Cuckoo's Nest,1975,https://boxd.it/2aeA
